可纠正错误次数	环境湿度（%）	内存条能量（焦耳）	内存条温度（℃）	大气压(kPa)	CPU利用率（%）
2352	40.63474939	755572	35.50808245	1330.825651	7
1419	57.92225799	40372	38.29540371	1510.009696	67
2665	60.78520181	162346	42.97522984	1091.495165	34
1358	69.53647335	643165	47.73193483	1437.073414	84
1450	58.67235771	265853	40.63210311	1462.14925	6
1735	35.85621637	72062	45.05267984	1388.162537	70
2336	35.32437957	704447	57.79890946	1034.644365	60
2982	79.27023482	628331	63.2056693	1483.850387	66
1129	64.64875258	151455	35.93607955	1448.86648	38
2964	10.55292327	414436	38.3095908	1443.814323	26
2618	64.80099281	757648	47.43606536	1792.291994	57
1405	83.48587274	603971	43.64195224	1128.932949	34
344	56.28801465	204510	60.99588965	1931.888301	31
2629	75.91252988	933672	47.81110659	1824.79087	32
2525	94.3798023	237805	40.49340997	1011.588194	60
2238	74.42668803	618288	50.35808989	1957.119052	85
1502	46.7896582	425181	54.31028436	1270.085257	51
1726	65.74352406	542689	61.69275613	1848.272343	17
495	57.79689013	500403	43.3697991	1146.068463	27
2882	40.46874345	483059	61.27892528	1582.32005	33
2577	94.40678105	89201	50.32836289	1569.183486	19
359	85.57324102	655758	49.6821101	1081.697504	37
1756	13.26844151	605139	42.3429674	1232.44498	64
1709	98.55010291	530498	41.00357484	1140.165694	6
1024	67.79944907	102093	44.46446186	1739.541216	7
373	82.4594431	248743	52.43765168	1623.197111	98
1117	37.91655792	695322	44.62034021	1073.337672	49
241	37.38189972	110430	63.30001039	1039.920514	32
320	16.3998737	989298	37.40350337	1099.252624	55
730	73.35712529	162081	36.56927773	1615.612652	36
259	60.03776724	121091	51.94432732	1110.339321	42
2912	13.58760597	979307	39.07703938	1651.775448	94
683	30.13011656	599039	64.39077966	1562.166145	1
880	7.942611785	347539	40.32405729	1863.986902	31
422	99.71668081	402855	45.82503651	1870.54389	12
2054	51.5201916	177638	48.96725503	1532.645932	49
167	73.161199	527665	53.78980706	1605.572165	67
2336	62.57623702	316056	54.80094243	1183.062355	63
2219	39.71142729	736510	58.11278184	1418.358177	85
1527	16.30739263	29988	63.8990495	1780.239053	59
1630	85.21268876	836566	51.18299992	1539.802157	64
408	11.26002783	949218	58.81274228	1440.80716	17
222	83.39412845	313213	47.75991608	1006.877183	17
1677	0.539677374	828970	43.56965054	1464.106885	62
1055	63.60242093	162879	41.70083284	1250.992934	81
2230	55.01445797	778313	64.9621793	1199.908623	36
316	71.79842774	143385	58.78327278	1659.17282	44
1034	21.33264899	995385	38.67629405	1341.358379	11
1357	37.70022212	84796	58.76421045	1969.008689	91
362	32.13100874	845654	46.70712082	1552.780778	51
2897	35.20493904	11097	63.93647921	1598.03269	61
301	85.97038203	117877	51.86605757	1603.635104	3
406	69.63000564	213029	62.22684217	1165.310842	36
2400	51.21225476	532130	40.7035487	1976.402659	6
2959	56.53800992	34613	39.07164498	1549.721434	33
1672	1.429259506	350151	46.41426281	1582.49303	9
439	49.43444212	250126	47.85214264	1749.289273	38
2750	34.11393459	385098	59.9408993	1340.000061	49
2724	69.94489174	788175	56.47637635	1310.622517	24
141	65.88371692	646622	60.65424531	1647.034136	18
2430	31.40735064	473928	52.25415905	1942.351841	46
72	67.60174233	213957	56.83307093	1886.756682	49
896	66.23880129	155902	60.86889528	1604.046731	52
445	2.152721977	236110	41.51643759	1719.137846	63
308	23.85227927	687784	44.95275154	1740.588727	46
2577	64.5665747	504815	37.59234961	1997.271665	28
957	2.275131471	246930	47.14999063	1220.940347	5
764	65.06382494	24052	52.39315645	1985.326686	25
971	93.0386728	130818	61.49351147	1478.79057	94
2383	63.15591357	277639	35.47503069	1348.280285	44
2028	0.464468716	929299	50.07875981	1184.70874	13
1403	57.10869021	210737	45.05142113	1116.47564	41
1868	20.47071028	474339	51.10819152	1320.272863	55
774	99.7603785	178723	57.26202907	1845.313862	32
112	95.41911211	158818	47.26150713	1635.263394	58
680	96.15276364	867333	55.75745172	1020.519256	9
843	36.80953481	844293	44.56514796	1774.506159	1
2827	6.100437058	579567	43.40418443	1108.420739	89
1670	16.77075631	827221	56.16383118	1527.269519	37
517	97.67335074	642754	62.5300026	1041.044608	33
2011	8.027762825	196240	41.7583196	1310.169185	24
970	90.65832407	382434	61.38550895	1807.485514	42
2106	50.55302979	380931	45.62511202	1404.745726	40
1912	4.742852716	820671	58.90320099	1167.279566	34
1120	53.44687579	451052	43.71291133	1745.183451	73
853	56.90219448	52997	52.02860951	1177.195543	82
2113	45.05156348	917693	49.61244864	1903.669467	85
892	16.62545307	862100	53.25857625	1455.268548	41
33	16.50637658	655168	47.78484437	1528.103629	86
2169	76.84396371	635806	54.74862416	1772.040989	18
1211	77.25241149	710558	63.22049238	1261.559109	57
2036	9.603617952	350942	47.55974191	1553.579567	68
166	10.36484622	92871	57.37169512	1429.690819	82
2976	70.74985973	261211	59.14387158	1307.38838	79
255	38.23147338	428649	45.39087636	1146.454715	24
115	82.14704635	929195	43.31530086	1318.149042	58
1502	78.06242288	785739	36.65244055	1127.152336	71
688	19.07548021	202912	63.74532163	1375.352769	55
2171	65.1643969	83711	37.66769274	1043.35181	32
2118	40.11735237	155789	60.06919244	1656.808447	59
