1	 1:1	 2:3	 3:86	 4:0	 5:60	 6:0	 7:58	 8:0	 9:64	 10:0	 11:45	 12:0	 13:35	 14:0	 15:44	 16:0	 17:37	 18:0
1	 1:1	 2:3	 3:7	 4:0	 5:67	 6:0	 7:81	 8:0	 9:56	 10:0	 11:86	 12:0	 13:82	 14:0	 15:35	 16:0	 17:44	 18:0
0	 1:1	 2:2	 3:6	 4:0	 5:12	 6:0	 7:93	 8:0	 9:1	 10:0	 11:19	 12:0	 13:21	 14:0	 15:83	 16:0	 17:73	 18:0
0	 1:7	 2:1	 3:50	 4:0	 5:15	 6:0	 7:20	 8:0	 9:5	 10:0	 11:17	 12:0	 13:72	 14:0	 15:42	 16:0	 17:11	 18:0
2	 1:0	 2:3	 3:28	 4:0	 5:146	 6:1	 7:61	 8:0	 9:95	 10:0	 11:38	 12:0	 13:5	 14:0	 15:171	 16:1	 17:2	 18:0
0	 1:5	 2:0	 3:14	 4:0	 5:93	 6:0	 7:6	 8:0	 9:73	 10:0	 11:60	 12:0	 13:5	 14:0	 15:38	 16:0	 17:24	 18:0
1	 1:3	 2:2	 3:35	 4:0	 5:4	 6:0	 7:33	 8:0	 9:85	 10:0	 11:49	 12:0	 13:28	 14:0	 15:25	 16:0	 17:60	 18:0
2	 1:2	 2:0	 3:81	 4:0	 5:94	 6:0	 7:53	 8:0	 9:169	 10:1	 11:19	 12:0	 13:89	 14:0	 15:46	 16:0	 17:141	 18:1
2	 1:6	 2:1	 3:181	 4:1	 5:71	 6:0	 7:74	 8:0	 9:19	 10:0	 11:44	 12:0	 13:28	 14:0	 15:29	 16:0	 17:99	 18:0
1	 1:0	 2:2	 3:30	 4:0	 5:67	 6:0	 7:5	 8:0	 9:67	 10:0	 11:23	 12:0	 13:158	 14:1	 15:76	 16:0	 17:23	 18:0
2	 1:1	 2:3	 3:29	 4:0	 5:90	 6:0	 7:159	 8:1	 9:11	 10:0	 11:37	 12:0	 13:25	 14:0	 15:63	 16:0	 17:93	 18:0
